"Photon energy (eV)"	"Reflectivity"
8057.64	7.76082E-11
8067.55	7.58513E-11
8077.46	7.41368E-11
8087.37	7.24637E-11
8097.28	7.08311E-11
8107.19	6.9238E-11
8117.1	6.76826E-11
8127.01	6.61646E-11
8136.92	6.46832E-11
8146.83	6.32369E-11
8156.74	6.18253E-11
8166.65	6.04473E-11
8176.56	5.91022E-11
8186.47	5.77868E-11
8196.38	5.65023E-11
8206.29	5.52484E-11
8216.2	5.4024E-11
8226.11	5.28284E-11
8236.02	5.16611E-11
8245.93	5.05215E-11
8255.84	4.94085E-11
8265.75	4.83217E-11
8275.66	4.72606E-11
8285.57	4.62245E-11
8295.48	4.52122E-11
8305.39	4.42238E-11
8315.3	4.32575E-11
8325.21	4.23127E-11
8335.12	4.13898E-11
8345.03	4.04886E-11
8354.94	3.96083E-11
8364.85	3.87483E-11
8374.76	3.7908E-11
8384.67	3.70873E-11
8394.58	3.62857E-11
8404.49	3.55024E-11
8414.4	3.47372E-11
8424.31	3.39897E-11
8434.22	3.32592E-11
8444.13	3.25455E-11
8454.04	3.18469E-11
8463.95	3.1164E-11
8473.86	3.04968E-11
8483.77	2.98448E-11
8493.68	2.92077E-11
8503.59	2.85848E-11
8513.5	2.79763E-11
8523.41	2.73817E-11
8533.32	2.68004E-11
8543.23	2.62324E-11
8553.14	2.56772E-11
8563.05	2.51344E-11
8572.96	2.4604E-11
8582.87	2.40853E-11
8592.78	2.35773E-11
8602.69	2.30808E-11
8612.6	2.25954E-11
8622.51	2.21208E-11
8632.42	2.16568E-11
8642.33	2.12032E-11
8652.24	2.07598E-11
8662.15	2.03263E-11
8672.06	1.99023E-11
8681.97	1.94878E-11
8691.88	1.90826E-11
8701.79	1.86862E-11
8711.7	1.82987E-11
8721.61	1.79196E-11
8731.52	1.75481E-11
8741.43	1.71849E-11
8751.34	1.68296E-11
8761.25	1.64821E-11
8771.16	1.61422E-11
8781.07	1.58099E-11
8790.98	1.54849E-11
8800.89	1.5167E-11
8810.8	1.4856E-11
8820.71	1.45518E-11
8830.62	1.42542E-11
8840.53	1.39632E-11
8850.44	1.36784E-11
8860.35	1.33999E-11
8870.26	1.31268E-11
8880.17	1.28596E-11
8890.08	1.25981E-11
8899.99	1.23423E-11
8909.9	1.20921E-11
8919.81	1.18472E-11
8929.72	1.16076E-11
8939.63	1.13732E-11
8949.54	1.11438E-11
