"Photon energy (eV)"    "Reflectivity"
           0.404150  4.125998e-01
           0.405148  4.127345e-01
           0.406145  4.128655e-01
           0.407142  4.129927e-01
           0.408140  4.131220e-01
           0.409137  4.132505e-01
           0.410134  4.133754e-01
           0.411132  4.134966e-01
           0.412129  4.136186e-01
           0.413126  4.137404e-01
           0.414123  4.138586e-01
           0.415121  4.139732e-01
           0.416118  4.140877e-01
           0.417115  4.142031e-01
           0.418113  4.143149e-01
           0.419110  4.144232e-01
           0.420107  4.145301e-01
           0.421105  4.146394e-01
           0.422102  4.147451e-01
           0.423099  4.148473e-01
           0.424096  4.149466e-01
           0.425094  4.150490e-01
           0.426091  4.151479e-01
           0.427088  4.152434e-01
           0.428086  4.153355e-01
           0.429083  4.154308e-01
           0.430080  4.155243e-01
           0.431078  4.156143e-01
           0.432075  4.157009e-01
           0.433072  4.157879e-01
           0.434070  4.158751e-01
           0.435067  4.159589e-01
           0.436064  4.160393e-01
           0.437061  4.161177e-01
           0.438059  4.161989e-01
           0.439056  4.162767e-01
           0.440053  4.163511e-01
           0.441051  4.164221e-01
           0.442048  4.164960e-01
           0.443045  4.165679e-01
           0.444043  4.166366e-01
           0.445040  4.167019e-01
           0.446037  4.167664e-01
           0.447034  4.168317e-01
           0.448032  4.168937e-01
           0.449029  4.169523e-01
           0.450026  4.170076e-01
           0.451024  4.170658e-01
           0.452021  4.171212e-01
           0.453018  4.171733e-01
           0.454016  4.172221e-01
           0.455013  4.172707e-01
           0.456010  4.173208e-01
           0.457007  4.173677e-01
           0.458005  4.174112e-01
           0.459002  4.174514e-01
           0.459999  4.174922e-01
           0.460997  4.175304e-01
           0.461994  4.175653e-01
           0.462991  4.175968e-01
           0.463989  4.176270e-01
           0.464986  4.176600e-01
           0.465983  4.176898e-01
           0.466981  4.177161e-01
           0.467978  4.177391e-01
           0.468975  4.177616e-01
           0.469972  4.177826e-01
           0.470970  4.178003e-01
           0.471967  4.178146e-01
           0.472964  4.178254e-01
           0.473962  4.178382e-01
           0.474959  4.178482e-01
           0.475956  4.178547e-01
           0.476954  4.178578e-01
           0.477951  4.178582e-01
           0.478948  4.178603e-01
           0.479945  4.178590e-01
           0.480943  4.178540e-01
           0.481940  4.178454e-01
           0.482937  4.178350e-01
           0.483935  4.178242e-01
           0.484932  4.178097e-01
           0.485929  4.177915e-01
           0.486927  4.177695e-01
           0.487924  4.177463e-01
           0.488921  4.177218e-01
           0.489918  4.176934e-01
           0.490916  4.176611e-01
           0.491913  4.176247e-01
           0.492910  4.175868e-01
           0.493908  4.175463e-01
           0.494905  4.175017e-01
           0.495902  4.174528e-01
           0.496900  4.173995e-01
           0.497897  4.173439e-01
           0.498894  4.172846e-01
           0.499892  4.172208e-01
           0.500889  4.171524e-01
           0.501886  4.170792e-01
           0.502883  4.170040e-01
           0.503881  4.169251e-01
           0.504878  4.168411e-01
           0.505875  4.167519e-01
           0.506873  4.166574e-01
           0.507870  4.165576e-01
           0.508867  4.164522e-01
           0.509865  4.163410e-01
           0.510862  4.162238e-01
           0.511859  4.161003e-01
           0.512856  4.159699e-01
           0.513854  4.158323e-01
           0.514851  4.156878e-01
           0.515848  4.155361e-01
           0.516846  4.153768e-01
           0.517843  4.152076e-01
           0.518840  4.150275e-01
           0.519838  4.148388e-01
           0.520835  4.146409e-01
           0.521832  4.144336e-01
           0.522829  4.142124e-01
           0.523827  4.139697e-01
           0.524824  4.137158e-01
           0.525821  4.134498e-01
           0.526819  4.131710e-01
           0.527816  4.128779e-01
           0.528813  4.125400e-01
           0.529811  4.121872e-01
           0.530808  4.118175e-01
           0.531805  4.114286e-01
           0.532803  4.110186e-01
           0.533800  4.105285e-01
           0.534797  4.099981e-01
           0.535794  4.094497e-01
           0.536792  4.088838e-01
           0.537789  4.083009e-01
           0.538786  4.076198e-01
           0.539784  4.068002e-01
           0.540781  4.059941e-01
           0.541778  4.052224e-01
           0.542776  4.045061e-01
           0.543773  4.038658e-01
           0.544770  4.031730e-01
           0.545767  4.025874e-01
           0.546765  4.021771e-01
           0.547762  4.019035e-01
           0.548759  4.017108e-01
           0.549757  4.016808e-01
           0.550754  4.017810e-01
           0.551751  4.018995e-01
           0.552749  4.020256e-01
           0.553746  4.021487e-01
           0.554743  4.022620e-01
           0.555740  4.025055e-01
           0.556738  4.027265e-01
           0.557735  4.029268e-01
           0.558732  4.031080e-01
           0.559730  4.032718e-01
           0.560727  4.034488e-01
           0.561724  4.036452e-01
           0.562722  4.038282e-01
           0.563719  4.039982e-01
           0.564716  4.041558e-01
           0.565714  4.043014e-01
           0.566711  4.044604e-01
           0.567708  4.046138e-01
           0.568705  4.047575e-01
           0.569703  4.048919e-01
           0.570700  4.050174e-01
           0.571697  4.051373e-01
           0.572695  4.052626e-01
           0.573692  4.053804e-01
           0.574689  4.054909e-01
